Index,Name,Age,Gender,Nationality,Years Active,Genre Specialization,Beauty,Skill Level,Education Level,Award Wins,Media Mentions,Social Media Followers,Social Media Likes,Network Size,Income
1500,Charles Dawson,39,Male,USA,13,Sci-Fi,6.47,8.04,High School,8,37,17507,4942,25,521589.59
1501,Angela Noble,19,Female,USA,1,Action,11.11,13.08,Graduate,7,42,16729,5135,25,592856.56
1502,Kyle Hamilton,43,Female,USA,14,Action,6.55,10.33,University,10,32,16670,4981,28,860765.67
1503,Sarah Alexander,34,Female,USA,16,Comedy,9.43,8.81,University,9,26,13183,4409,20,892957.04
1504,Tracey Chambers,34,Female,USA,16,Action,8.32,8.09,High School,8,36,16756,5929,35,1078204.12
1505,Amy Hardin,29,Female,USA,11,Sci-Fi,8.11,8.54,University,8,33,15877,5182,31,730384.48
1506,Scott Bailey DDS,31,Female,USA,13,Drama,10.05,12.32,Graduate,7,48,16754,4982,21,773678.0
1507,Jessica Orr,42,Female,USA,13,Drama,8.43,14.27,College,10,32,17114,5303,28,956759.62
1508,Colleen Allen,35,Female,USA,13,Drama,6.73,5.61,College,7,46,15601,5112,27,696144.51
1509,James Bradley,40,Male,USA,16,Drama,8.75,2.77,College,7,43,15129,4784,21,706381.22
1510,John Navarro,30,Female,USA,12,Comedy,5.73,11.67,Graduate,11,34,15903,4883,17,740482.38
1511,Christopher Sanchez,44,Male,USA,16,Drama,8.77,2.54,College,6,30,15125,4745,23,499145.51
1512,James Johnson DDS,41,Male,USA,17,Action,5.62,2.34,University,4,42,13357,4711,18,441229.39
1513,Stacy Gregory,44,Male,USA,9,Action,5.42,6.54,University,4,34,15114,4659,20,379411.39
1514,Christopher Wilson,25,Female,USA,7,Comedy,9.8,7.98,University,7,49,18244,5651,34,839620.57
1515,Zachary Murphy,28,Male,USA,10,Comedy,7.11,6.83,High School,7,33,15996,5034,20,790111.6
1516,Kelly Hernandez,42,Female,Canada,18,Drama,8.53,9.79,High School,13,44,17093,5537,31,1596579.24
1517,Kimberly Gomez,42,Male,USA,14,Action,6.44,12.8,University,11,37,16985,4914,29,1111871.68
1518,Roger Mendez,52,Female,USA,13,Horror,7.56,3.68,College,6,53,18161,5513,23,596199.37
1519,Miguel Davis,32,Female,USA,14,Horror,7.17,9.32,College,9,34,18089,5127,31,780410.05
1520,Misty Mcdaniel,30,Female,USA,12,Drama,10.88,6.23,High School,7,33,14412,4646,21,500260.42
1521,Deborah Gordon,26,Female,USA,8,Drama,10.0,8.54,High School,9,28,14425,4664,28,634139.46
1522,Danny Anderson,33,Female,USA,15,Sci-Fi,10.09,8.64,University,9,41,17825,5344,30,1269862.4
1523,Stacy Melton,34,Male,USA,13,Sci-Fi,6.57,7.66,University,9,47,17639,5363,27,850898.45
1524,Kelly Juarez,33,Female,Canada,11,Drama,12.45,6.42,College,6,43,18580,5319,27,952603.32
1525,Lauren Walsh,50,Male,USA,17,Drama,5.15,11.85,University,9,26,13629,4956,28,758979.78
1526,Emily Aguirre,33,Male,USA,14,Sci-Fi,7.22,13.88,High School,10,37,15777,4935,19,673236.19
1527,Steve Cummings,32,Female,USA,14,Comedy,8.36,7.53,High School,8,46,17572,5216,24,445456.01
1528,Michael Harris,56,Male,USA,10,Drama,9.02,13.46,Graduate,7,57,20249,5664,30,826681.18
1529,Jeff Campbell,38,Male,USA,19,Action,9.25,12.7,High School,12,47,19236,5603,30,1469071.34
1530,Sheri Davis,49,Male,USA,16,Drama,7.93,10.18,Graduate,10,49,18022,5360,25,1220393.87
1531,Kimberly Arroyo,35,Male,USA,14,Sci-Fi,5.88,9.44,University,9,40,15207,5237,18,671279.02
1532,Marie Hicks,52,Female,USA,12,Drama,8.64,3.58,Graduate,6,45,14368,4964,24,578405.06
1533,Joel Warren,20,Female,USA,2,Horror,7.09,8.38,High School,5,37,18811,5280,28,308952.73
1534,Julia French,32,Female,USA,12,Action,7.69,7.57,Graduate,10,41,17367,5335,27,1017651.76
1535,Andrew Wyatt,40,Male,USA,16,Action,8.51,10.11,Graduate,9,33,16384,4890,23,1139296.26
1536,Alejandro Johnson,21,Female,Canada,3,Musical,9.37,16.91,College,10,46,20735,5732,23,710891.88
1537,Emily Arnold,33,Female,USA,15,Comedy,9.78,10.81,Graduate,8,44,17077,4939,21,773618.39
1538,Cody Thomas MD,45,Female,USA,11,Musical,9.48,10.79,University,11,28,14738,5073,29,782479.14
1539,Sonya Johnson,34,Male,USA,16,Action,6.83,2.89,High School,6,25,15819,5381,31,856162.38
1540,Alex Nelson,47,Male,USA,15,Drama,5.09,10.93,University,9,30,14815,4676,23,563940.52
1541,Heather Adams,33,Female,USA,12,Drama,11.08,3.86,University,4,29,15236,5112,30,475672.48
1542,Leah Calhoun,35,Female,Canada,12,Comedy,8.0,12.06,University,12,40,17369,5572,29,1079507.1
1543,Vanessa Richards,49,Female,Canada,15,Drama,6.25,2.25,Graduate,5,38,15677,4672,25,524606.07
1544,Ryan Beck,38,Male,USA,16,Action,5.5,4.59,University,6,40,16116,5136,25,578564.29
1545,Hayley Wagner,31,Female,USA,13,Action,9.6,10.81,College,11,30,16034,4764,25,1198950.74
1546,Janice Cooper,54,Male,Canada,17,Comedy,5.52,5.58,College,7,45,18697,5131,24,828867.2
1547,John James,40,Female,USA,17,Drama,10.22,8.92,University,10,21,14352,4616,27,1033660.59
1548,Gerald Griffin,41,Male,Canada,18,Sci-Fi,9.87,5.01,College,8,26,15177,4917,22,808887.22
1549,Stephen Chang,38,Male,USA,15,Drama,8.76,11.7,College,11,36,18823,5318,25,1218801.06
1550,Mr. Edward Monroe,36,Female,USA,14,Sci-Fi,7.97,12.41,High School,14,41,17228,4653,24,1201472.95
1551,Rodney Anderson,54,Female,USA,20,Sci-Fi,7.82,11.7,College,12,35,16366,4905,19,1217329.03
1552,Jeffrey Smith,29,Male,USA,11,Action,6.56,12.71,University,8,34,17079,4850,31,839903.95
1553,Matthew Woods,29,Female,USA,11,Action,6.94,2.78,High School,6,35,15967,4851,30,798561.22
1554,Tim Gonzalez,43,Female,USA,16,Comedy,8.03,9.65,University,7,44,16692,5483,26,629894.74
1555,Paul Fisher,32,Male,USA,14,Action,5.21,13.05,Graduate,11,49,15664,4907,23,772984.19
1556,Rachel Powell,48,Male,USA,16,Action,7.03,8.34,Graduate,8,41,17088,5140,25,910791.54
1557,Patrick Sandoval,28,Female,USA,10,Drama,7.28,7.28,Graduate,5,35,16095,4993,22,645044.87
1558,Anthony Evans,22,Female,USA,4,Action,5.96,8.78,Graduate,7,23,15641,4968,33,556869.1
1559,Daniel Adams,25,Female,USA,7,Comedy,8.66,7.82,Graduate,7,45,21527,5551,30,797901.5
1560,Sonya Scott,34,Female,USA,12,Musical,8.79,12.66,Graduate,10,47,18550,5368,31,783921.26
1561,Sarah Sanford,33,Female,USA,15,Action,7.36,5.14,Graduate,5,34,16320,4994,27,632458.93
1562,Robert Mcguire,36,Female,USA,13,Action,7.1,10.22,College,8,36,14637,4392,25,655453.37
1563,Richard Johnson,40,Male,USA,15,Sci-Fi,6.78,5.98,High School,6,37,15642,5261,37,506226.58
1564,Marie Rivera,29,Female,USA,10,Action,11.03,6.94,High School,9,28,14969,4782,17,805401.1
1565,Theresa Pena,57,Male,Canada,16,Drama,6.37,10.37,College,10,42,14477,4568,17,795900.47
1566,Louis Martin,33,Female,USA,14,Action,7.71,5.9,College,8,41,15132,5002,27,1238346.3
1567,Misty Johnson,46,Male,USA,14,Sci-Fi,7.41,17.55,Graduate,12,28,15998,4869,27,813880.35
1568,Jesus Ward,40,Male,USA,10,Action,5.25,9.98,College,7,39,16357,5195,21,512829.52
1569,Kimberly Porter,40,Female,USA,15,Musical,9.65,9.6,Graduate,10,27,15601,5005,17,1087819.85
1570,Thomas Crawford,49,Male,USA,11,Action,7.15,2.34,University,7,47,21009,5739,26,885413.59
1571,John Gregory,45,Male,USA,16,Sci-Fi,6.18,12.31,Graduate,9,22,18479,5368,27,944386.38
1572,Brian Flores,28,Female,USA,10,Comedy,6.41,13.25,College,11,45,16945,5265,25,720735.02
1573,Juan Duncan,40,Female,Canada,20,Comedy,9.27,9.0,College,11,27,14173,4996,24,1263639.26
1574,Edward Francis,18,Male,USA,0,Horror,9.35,9.53,College,5,37,16677,5363,22,257507.15
1575,Michelle Moore,44,Female,Canada,13,Action,11.35,6.85,University,7,34,15055,5066,30,794536.03
1576,Zachary Peterson,37,Male,USA,13,Sci-Fi,5.7,8.68,High School,8,45,16452,5096,21,514824.7
1577,Ricardo Taylor,37,Female,Canada,15,Comedy,11.29,12.91,College,12,39,16677,4857,26,1306278.15
1578,Eric Vega,38,Female,USA,20,Drama,9.59,12.26,College,12,30,15254,5627,24,1584310.84
1579,Matthew Wilson,39,Male,USA,21,Drama,5.09,6.79,University,9,33,17131,5419,27,1294451.67
1580,Sarah Liu,47,Male,USA,13,Action,5.29,8.26,High School,9,30,15114,5183,27,657144.93
1581,Kristen Hartman,30,Female,USA,12,Action,8.63,9.8,Graduate,9,48,16990,5582,28,812436.32
1582,Patricia Lewis,33,Female,USA,13,Drama,9.27,10.66,Graduate,9,45,19423,5424,28,1100464.41
1583,Carla Jackson,33,Female,USA,15,Comedy,8.37,0.5,Graduate,7,41,14802,4698,22,654366.56
1584,Kevin Dawson,33,Female,USA,13,Drama,9.67,9.7,College,8,55,19082,5319,23,679331.01
1585,Shannon Bond,49,Male,USA,12,Action,5.82,11.78,High School,11,28,14011,4658,29,773657.47
1586,Spencer Flores,36,Male,Canada,12,Sci-Fi,8.94,2.65,High School,6,43,16561,5084,24,452865.62
1587,Kimberly Munoz,56,Female,Canada,17,Drama,7.88,3.85,University,4,41,16558,5239,24,509017.04
1588,Karen Sanchez,30,Male,USA,12,Horror,5.41,7.49,University,5,33,14545,5119,28,278962.33
1589,Erica Clark,23,Female,Canada,5,Comedy,7.99,10.14,College,6,36,16195,4670,22,375062.27
1590,Candice Valdez,34,Female,Canada,16,Action,8.02,14.68,College,14,33,14817,4954,21,1536950.09
1591,Heather Miranda,25,Female,USA,7,Drama,8.74,9.24,Graduate,6,45,15202,4994,19,534158.87
1592,Doris Miller,28,Female,USA,10,Musical,9.61,9.78,College,10,26,17581,5248,21,645635.67
1593,Diane James,45,Male,USA,17,Comedy,8.98,8.06,College,10,32,16837,5681,29,1451923.88
1594,Paul Conner,43,Female,USA,15,Drama,10.43,7.6,Graduate,8,34,16118,5340,28,905765.18
1595,Christina Alvarez,22,Male,USA,4,Sci-Fi,5.21,7.33,High School,5,38,17051,5220,23,365001.13
1596,Martha Bennett,23,Female,USA,5,Comedy,8.57,8.01,High School,6,24,14544,5043,19,403520.45
1597,Larry Phillips,37,Female,USA,15,Drama,8.92,12.36,Graduate,10,36,16267,5054,27,747527.61
1598,Sara Hardy,34,Female,USA,16,Action,10.63,14.08,Graduate,13,38,17544,5172,18,1819923.78
1599,Jennifer Byrd,23,Female,USA,5,Comedy,8.46,7.58,University,9,37,15934,5045,20,633552.9
1600,Mary Perez,18,Female,USA,0,Comedy,8.64,10.5,University,8,53,15988,4950,41,457628.27
1601,Victoria Lewis,26,Male,USA,8,Comedy,5.81,7.43,Graduate,6,22,15659,5156,23,575226.04
1602,Robert Collins,21,Male,USA,3,Action,5.35,7.12,College,7,51,17965,4851,21,591224.95
1603,Kathy Smith,21,Female,Canada,3,Comedy,6.4,5.59,Graduate,3,38,17790,4930,24,297420.04
1604,Jason Joseph,40,Male,Canada,19,Drama,7.24,12.73,Graduate,13,43,17519,5667,36,1887807.5
1605,Megan Patel,23,Female,USA,5,Comedy,6.39,7.93,High School,6,38,14919,5305,28,366713.2
1606,Mark Macias,51,Female,USA,14,Comedy,7.24,6.55,Graduate,9,32,14655,4559,20,694814.39
1607,Deanna Rosales,46,Male,USA,18,Drama,5.31,10.63,College,10,45,17858,5617,21,705329.18
1608,Rhonda Dixon,49,Male,USA,18,Action,4.52,11.55,University,8,37,14893,4800,25,611186.15
1609,Alexander Pearson,63,Female,USA,16,Drama,10.06,14.49,College,13,53,18462,5226,24,1123738.66
1610,Caitlyn Tyler,37,Female,USA,12,Musical,7.04,10.96,High School,10,34,19802,5290,29,727125.03
1611,Jeffrey Maynard,57,Male,USA,17,Action,5.31,8.71,Graduate,7,35,17465,4839,22,682760.23
1612,Elizabeth Morris,34,Female,Canada,10,Action,8.95,9.96,Graduate,7,39,16875,5344,30,705666.57
1613,Michael Maldonado,30,Male,USA,12,Horror,5.98,9.37,University,8,32,16679,4737,29,579857.81
1614,Sean Hill,27,Male,USA,9,Action,5.36,7.28,Graduate,5,49,17790,5845,32,433355.74
1615,Mark Kerr,49,Female,Canada,15,Drama,8.25,11.74,College,11,39,15730,4927,19,1708418.17
1616,Robert Taylor,42,Male,USA,23,Drama,6.04,6.16,College,10,44,20342,5520,26,1423154.73
1617,Dr. Joseph Elliott,39,Male,USA,13,Comedy,7.59,4.3,College,5,42,17951,5190,22,739434.24
1618,Crystal Wilson,25,Male,USA,7,Drama,7.88,17.86,University,9,55,19553,5648,27,846883.41
1619,Kenneth Stark,23,Female,USA,5,Drama,8.18,5.97,Graduate,6,50,17437,4814,20,570312.42
1620,Madison Davis,45,Female,USA,18,Musical,9.53,15.2,High School,14,37,16321,5057,20,1172592.97
1621,Miss Alison Myers MD,25,Female,USA,7,Drama,6.75,4.04,College,4,50,16341,4715,23,380016.95
1622,Tony Harris,36,Female,Canada,18,Comedy,7.96,7.84,Graduate,10,33,18640,5310,29,1365795.97
1623,Michele Becker,53,Female,USA,18,Action,9.86,5.98,College,9,28,16638,4753,16,1188057.37
1624,Terri Russo,19,Male,USA,1,Sci-Fi,6.95,9.9,Graduate,6,27,15267,4638,24,289186.01
1625,Jessica Schneider,26,Female,USA,8,Drama,6.96,13.54,University,10,45,18533,5022,27,513377.7
1626,Jennifer Beasley,42,Male,USA,16,Action,5.6,12.09,University,9,31,17506,5187,25,585756.86
1627,Laura Williams,34,Female,USA,15,Comedy,10.33,11.98,Graduate,11,49,17030,5036,31,964934.22
1628,Laura Parker,51,Male,USA,12,Comedy,7.61,11.66,Graduate,8,34,14143,4839,20,427958.17
1629,Jeffrey Sanchez,33,Female,USA,15,Drama,7.6,7.59,Graduate,10,37,15048,5249,25,956256.02
1630,John Gutierrez,39,Male,Canada,11,Drama,8.43,10.65,College,7,33,16289,5314,18,500411.54
1631,Anita Phillips,44,Male,Canada,11,Sci-Fi,7.77,0.87,Graduate,4,44,17680,5176,22,501020.13
1632,Sandra Ramos,32,Female,USA,12,Drama,10.29,4.4,High School,5,35,16119,4984,29,603024.44
1633,Christopher Wade,49,Male,Canada,12,Sci-Fi,6.59,12.24,College,9,33,16696,5395,21,442388.57
1634,Melissa Jones,37,Female,USA,11,Drama,4.64,10.85,Graduate,9,35,17095,5138,29,723687.29
1635,Gregory Thompson,42,Male,USA,18,Comedy,6.36,8.21,College,8,42,21552,5206,31,1328680.36
1636,Keith Ritter,29,Female,USA,11,Musical,9.74,4.46,High School,5,39,16078,5108,22,449354.69
1637,Danielle Richardson,52,Male,USA,21,Action,6.07,11.88,Graduate,11,48,15997,4871,21,966809.74
1638,Michael Wilson,38,Female,USA,17,Drama,10.15,8.17,Graduate,7,41,16751,4907,21,802058.66
1639,Laura Jones,34,Male,USA,16,Horror,7.14,10.23,University,8,44,18915,5364,33,726256.99
1640,Nancy Walker,44,Female,USA,15,Drama,9.33,5.83,University,6,38,19448,5138,27,981532.54
1641,James Gordon,23,Female,USA,5,Drama,9.51,7.45,Graduate,6,53,17010,5567,26,561195.82
1642,Benjamin Freeman,46,Male,USA,16,Musical,9.18,3.06,College,6,37,17299,4984,19,713349.13
1643,Katherine Romero,34,Male,USA,12,Sci-Fi,7.68,3.19,High School,5,36,18490,5765,27,458867.25
1644,John Murray,38,Male,USA,17,Action,5.13,8.42,College,8,26,15559,4877,27,558488.17
1645,James Martin,28,Male,USA,10,Sci-Fi,4.0,11.1,High School,8,34,15383,4809,17,393820.22
1646,Kristen Johnson,30,Male,USA,12,Comedy,7.85,8.93,University,7,35,19516,5533,27,823886.67
1647,Alisha Munoz,36,Female,USA,14,Comedy,10.0,12.16,Graduate,11,28,13526,5171,22,802946.91
1648,Maria Rivas,51,Female,USA,11,Drama,7.78,10.85,University,9,46,15619,5373,22,759893.28
1649,Jessica Coffey,42,Male,USA,12,Drama,7.77,10.66,College,9,41,16685,4855,25,550802.4
1650,Donald Ferguson,38,Female,USA,13,Comedy,8.12,10.2,University,9,36,13531,4962,23,773358.04
1651,Yvonne Chung,57,Male,USA,15,Action,8.12,10.82,College,8,51,17597,5393,29,677326.6
1652,Phillip Sanders,34,Female,USA,16,Comedy,7.62,10.59,Graduate,12,31,18180,5035,24,1260184.64
1653,Maria Williams,23,Female,USA,5,Comedy,7.74,9.81,College,6,40,16730,5113,24,370225.81
1654,Amber Wood,34,Female,USA,13,Musical,9.75,2.32,Graduate,7,31,17013,5082,26,847282.22
1655,Shannon Atkinson,50,Male,USA,15,Horror,4.67,8.69,High School,8,29,16219,5380,23,450491.69
1656,April Santiago,46,Female,USA,19,Drama,8.49,7.98,High School,10,27,15228,5266,38,1226981.87
1657,Jonathon Gilmore,37,Female,USA,19,Horror,8.27,10.36,University,10,28,12753,4757,21,876516.95
1658,David Carter,30,Female,USA,12,Drama,10.95,4.15,College,5,39,14614,4845,19,527218.5
1659,John Key,44,Female,USA,23,Musical,10.92,11.12,University,11,42,16999,4705,22,1651971.28
1660,Jason Nelson,35,Female,USA,16,Musical,11.43,8.09,College,10,33,16190,5351,25,1234034.16
1661,Maria Lewis,25,Female,USA,7,Comedy,7.92,7.9,University,7,31,12915,5346,29,463943.49
1662,Drew Hicks,40,Female,Canada,18,Comedy,8.98,10.45,Graduate,12,33,17227,5033,21,1586069.19
1663,Patricia Ramsey,28,Male,USA,10,Action,5.61,6.87,High School,6,31,14076,4917,20,388896.98
1664,Hayden Cannon,46,Male,USA,16,Drama,8.2,8.26,High School,9,40,16232,4857,29,1065075.25
1665,Sarah Perkins,37,Female,USA,14,Comedy,8.85,9.78,High School,8,39,15784,4782,24,608309.91
1666,John Hernandez,53,Male,USA,12,Sci-Fi,6.46,12.34,University,9,36,15476,5046,25,620526.01
1667,Vickie Farley,32,Male,USA,14,Action,3.29,9.66,College,8,47,17732,5364,26,500577.83
1668,Laura Collins,26,Male,USA,8,Sci-Fi,8.79,8.56,College,5,56,18531,5294,21,454627.9
1669,Kristy Higgins,37,Female,USA,17,Drama,9.77,10.08,Graduate,11,36,17126,5309,26,1246274.34
1670,Megan Valencia,49,Female,USA,15,Comedy,7.17,10.99,University,11,34,16395,4950,29,773519.61
1671,Justin Silva,25,Female,Canada,7,Comedy,8.75,11.74,College,9,36,16293,5118,29,556031.65
1672,Scott Suarez,29,Female,USA,11,Action,6.11,8.67,High School,10,27,16678,4804,22,970712.21
1673,Richard Knight,46,Male,USA,20,Sci-Fi,6.82,3.99,Graduate,5,44,16595,5075,22,695068.9
1674,Cody Payne,49,Female,USA,15,Drama,8.74,6.5,High School,7,43,17646,5524,29,891102.49
1675,Jennifer Navarro,35,Female,USA,13,Drama,8.33,9.35,College,8,32,14981,4995,30,661762.38
1676,Valerie Crawford,50,Male,USA,15,Sci-Fi,7.03,8.97,High School,8,49,16923,4707,26,547844.93
1677,Johnathan Williams,44,Male,USA,19,Drama,5.71,8.01,Graduate,9,34,15273,5393,25,875591.88
1678,Christopher Garcia,38,Male,USA,16,Action,5.29,11.72,College,10,28,16913,4874,24,647521.74
1679,Deanna Duran,38,Male,USA,15,Sci-Fi,7.02,15.41,University,9,42,15869,4896,24,657386.35
1680,John Perkins,51,Male,Canada,14,Action,5.86,8.21,High School,8,40,17357,5229,33,684049.58
1681,Joshua Smith,52,Female,Canada,14,Comedy,9.76,10.39,College,9,39,16910,5453,22,700029.0
1682,Bobby Porter,36,Female,USA,15,Action,5.8,11.49,High School,12,34,17193,5353,31,1491023.17
1683,William Steele,50,Female,USA,14,Drama,8.13,12.6,Graduate,11,55,20416,5472,31,1157321.58
1684,Mercedes Simmons,31,Female,USA,9,Drama,9.77,6.64,College,7,56,18180,5359,29,856114.39
1685,Daniel Deleon,53,Male,USA,16,Action,6.96,9.18,College,8,36,17080,4915,25,695020.71
1686,David Hall,39,Female,Canada,17,Drama,8.69,12.39,Graduate,10,33,16136,5001,18,925687.98
1687,Michael Arnold,29,Male,USA,11,Horror,5.86,10.88,University,9,40,16689,5318,27,581384.79
1688,Albert Warner,42,Male,USA,14,Horror,6.59,8.75,Graduate,8,36,16494,4799,22,679610.74
1689,Kelly Gordon,32,Female,Canada,14,Musical,11.21,2.7,University,5,39,16209,5503,32,773060.91
1690,Richard Pollard,29,Female,USA,11,Comedy,9.0,6.62,University,4,40,17751,5240,30,409747.82
1691,David Taylor,19,Female,USA,1,Musical,12.25,1.31,High School,5,36,16615,5374,25,337172.06
1692,Scott Mccarthy,46,Female,USA,10,Drama,8.59,3.92,College,8,47,18270,5318,27,704118.45
1693,Alex Jones,42,Male,USA,20,Horror,6.96,9.95,College,10,35,15488,5007,21,647741.48
1694,George Walker,53,Female,USA,19,Comedy,7.27,13.75,High School,14,38,16231,5341,25,1327515.54
1695,Kimberly Fisher,56,Female,USA,15,Musical,9.4,13.85,Graduate,11,26,15044,5041,19,615676.43
1696,Mrs. Erin Henry,20,Female,USA,2,Drama,9.37,10.59,Graduate,8,28,15574,4919,17,473222.54
1697,Michael Flores,56,Male,Canada,19,Action,6.65,9.83,Graduate,8,36,14008,4636,20,750852.35
1698,Dwayne Fox,42,Female,USA,19,Comedy,6.92,5.72,College,8,40,17899,5196,29,781325.03
1699,Dr. Paul Clark,43,Male,USA,13,Sci-Fi,7.21,12.79,High School,9,34,16264,5295,19,554510.63
1700,Ashley Roberts,57,Female,USA,13,Comedy,8.23,10.52,University,8,39,17694,5540,23,561088.26
1701,Alex Nelson,47,Male,USA,15,Drama,5.09,10.93,University,9,30,14815,4676,23,563940.52
1702,Joshua Martin,26,Male,USA,8,Action,5.48,2.11,High School,6,38,16618,5173,26,367815.43
1703,Kristen Garza,36,Male,USA,15,Action,7.66,8.08,High School,7,33,15759,4782,23,627371.58
1704,Gary Middleton,22,Male,USA,4,Action,5.97,1.99,College,2,35,19532,5453,23,312992.67
1705,John Crawford,23,Female,Canada,5,Comedy,7.31,2.55,Graduate,5,28,16958,5352,22,430467.86
1706,Robin Gonzales,24,Female,Canada,6,Drama,5.94,6.38,College,4,38,15653,4808,23,458779.02
1707,Seth Bailey,32,Male,USA,14,Sci-Fi,6.87,14.86,University,11,27,13171,4392,29,661596.82
1708,Sarah Black,32,Female,Canada,14,Comedy,9.59,7.39,University,9,35,15397,5095,19,760775.04
1709,James Lynch,37,Female,Canada,17,Comedy,8.65,8.71,College,8,41,16299,4833,23,775944.33
1710,Jeff Parker,30,Female,USA,12,Drama,10.22,4.16,Graduate,6,40,17055,4963,18,728053.72
1711,Betty Mcconnell,41,Female,USA,18,Comedy,8.48,4.22,High School,9,60,21677,5617,33,1356517.18
1712,Allison Johnson MD,53,Male,USA,18,Sci-Fi,7.73,8.87,Graduate,8,40,16441,5071,24,782523.87
1713,Gina Howard,45,Male,USA,14,Comedy,7.63,13.3,University,11,55,17445,5392,29,1395827.15
1714,Leah Brennan,39,Male,Canada,17,Drama,3.49,11.51,Graduate,11,44,16952,5000,26,1057927.6
1715,David Douglas,38,Male,USA,15,Drama,5.72,11.18,College,10,37,19561,5997,30,1064265.98
1716,Jeffrey Keller,49,Male,USA,17,Drama,7.06,15.08,University,10,33,13834,4479,26,820553.49
1717,Dana Dunn,32,Male,USA,13,Drama,4.4,8.61,College,6,33,17947,5581,33,602660.37
1718,Scott Williamson,45,Male,USA,18,Sci-Fi,6.87,7.23,University,7,36,19223,5208,34,490693.6
1719,Brittany Preston,33,Female,USA,15,Drama,7.82,4.72,College,7,42,14887,4878,23,716601.95
1720,Robert Mcguire,36,Female,USA,13,Action,7.1,10.22,College,8,36,14637,4392,25,655453.37
1721,Jonathon Jones,26,Male,USA,8,Sci-Fi,5.81,15.29,University,10,26,14299,5300,33,655283.0
1722,David Peterson,24,Female,USA,6,Comedy,9.74,10.3,University,11,47,16858,5329,26,789864.08
1723,Michael Rosales,27,Female,USA,9,Action,7.71,8.5,High School,9,28,15513,4702,27,791468.97
1724,Rachel Eaton,47,Male,Canada,14,Comedy,8.71,9.87,Graduate,7,35,18270,5409,27,751808.62
1725,Tammy Delgado,41,Female,Canada,15,Comedy,6.63,15.24,Graduate,11,17,14645,5063,27,655076.03
1726,Brian Walker,33,Female,USA,15,Comedy,7.52,1.91,High School,7,34,15555,5007,29,800561.25
1727,Daniel Mendoza,33,Male,USA,15,Action,5.51,8.28,High School,9,36,18215,5435,25,815664.43
1728,Taylor Johnson DVM,36,Male,USA,16,Comedy,6.19,11.69,University,10,47,18883,4920,24,1038659.4
1729,Maria Lewis,38,Male,USA,15,Action,6.68,7.47,University,9,35,14835,5211,24,844747.07
1730,Sandra Medina,35,Female,USA,17,Musical,8.21,2.15,High School,8,48,20445,5186,27,1047282.59
1731,William Strickland,41,Female,USA,10,Comedy,8.62,4.35,College,7,43,17748,5570,33,754320.61
1732,Dana Zuniga,43,Female,USA,19,Drama,8.68,11.55,University,11,40,16617,4745,22,1052547.11
1733,Carrie Anderson,26,Female,Canada,8,Drama,8.34,6.13,High School,9,34,18719,5345,25,735093.69
1734,Marc Berger,47,Male,USA,19,Drama,7.92,2.11,University,8,31,17979,5036,25,1377196.61
1735,Elizabeth Escobar,35,Male,USA,14,Comedy,8.48,8.9,University,7,37,16569,5156,29,816746.16
1736,Jamie Serrano,38,Male,USA,14,Comedy,6.21,7.13,Graduate,8,35,19121,5266,25,810765.47
1737,Andrew Stokes,35,Male,USA,16,Sci-Fi,9.55,18.74,Graduate,12,33,15249,4845,25,641533.34
1738,Janet Baker,46,Male,USA,18,Action,5.36,5.47,Graduate,7,48,16680,5157,28,767309.01
1739,Jessica Simon,38,Male,USA,18,Action,4.66,0.18,High School,5,39,16647,4999,26,521492.89
1740,Dana Martin,45,Male,USA,15,Sci-Fi,8.14,5.23,High School,7,38,15682,4885,23,627507.35
1741,Danielle Chan,54,Male,USA,13,Horror,6.89,8.89,Graduate,9,36,15642,5719,28,616398.65
1742,Bryce Johnson,33,Female,USA,15,Sci-Fi,8.49,3.06,High School,4,29,15654,5198,21,535567.36
1743,Kathryn Fry,47,Male,USA,19,Sci-Fi,6.65,5.34,Graduate,7,34,16191,5346,22,819984.79
1744,Jonathan Lewis,34,Female,USA,14,Comedy,7.68,11.44,University,11,25,14461,4917,23,1102483.92
1745,Rachel Brooks,58,Female,USA,16,Musical,11.66,12.82,College,15,32,15758,5757,27,1730681.38
1746,Kristen Rice,32,Female,Canada,14,Drama,8.33,13.29,University,11,32,13081,4517,25,768124.6
1747,Taylor Woods,49,Male,USA,15,Action,5.11,10.87,Graduate,9,31,16028,5101,32,578339.95
1748,Meghan Gonzales,46,Female,USA,18,Drama,7.85,14.38,University,13,34,17499,5422,27,1383647.22
1749,Gregory Ayala,55,Male,USA,13,Action,6.14,14.92,University,11,59,19306,5795,34,670795.76
1750,Jordan Oliver,32,Female,USA,14,Comedy,9.47,6.57,High School,7,32,14507,4437,25,565661.47
1751,Kelly Mitchell,49,Male,USA,15,Comedy,8.05,15.73,Graduate,9,38,15471,4868,22,940068.44
1752,Mrs. Sharon Vega,19,Female,USA,1,Drama,9.64,9.84,High School,5,36,16272,4973,23,441657.24
1753,Amber Wheeler,33,Male,USA,15,Action,5.65,7.1,High School,8,36,16995,5286,23,793990.85
1754,Madeline Simmons,55,Female,Canada,14,Comedy,6.68,9.03,Graduate,9,42,18064,5156,34,932487.96
1755,Sue Johnson,32,Female,USA,14,Comedy,6.61,15.94,High School,12,41,15325,5066,29,867055.63
