Name;Age;Gender;Nationality;Years Active;Genre Specialization;Beauty;Skill Level;Education Level;Award Wins;Media Mentions;Social Media Followers;Social Media Likes;Network Size;Income
Christopher Hudson;31;Male;USA;13;Sci-Fi;6.2;8.17;High School;11;27;16336;5248;20;850193.96
Alexander Olson;20;Female;USA;2;Action;10.86;11.81;University;9;26;15878;5174;33;661255.73
Megan Figueroa;48;Male;Canada;14;Drama;9.76;6.14;High School;8;38;17686;4842;22;820955.43
Rebecca Johnson;36;Male;USA;9;Horror;4.98;5.3;High School;4;57;20558;5438;18;333453.13
David Gomez;29;Female;USA;11;Action;5.79;7.3;University;8;36;14369;4778;19;586743.05
Brian Shaffer;28;Female;USA;10;Comedy;6.71;11.43;University;9;38;17515;5268;25;810236.15
Nancy Anderson;34;Female;USA;16;Horror;8.29;6.77;University;6;49;17176;5295;27;403185.17
Aaron Estrada;22;Female;USA;4;Action;6.06;7.27;College;6;47;17112;5292;28;373894.29
Brenda Lucero;41;Female;Canada;20;Action;3.47;6.12;College;8;38;16832;5230;30;636226.48
Daniel Bell;21;Female;USA;3;Comedy;6.96;7.29;University;6;44;17469;4593;30;491282.22
Lisa Espinoza;27;Female;Canada;9;Action;10.41;8.17;Graduate;8;45;15671;4921;26;945363.2
Jennifer Beasley;27;Male;USA;9;Sci-Fi;7.55;13.84;College;8;39;18181;4983;23;526176.69
Christian Wood;37;Male;USA;9;Horror;7.16;8.28;High School;6;29;15298;4716;27;425743.44
John Ward;50;Male;USA;13;Drama;11.54;14.52;Graduate;10;29;16816;5038;20;982184.79
Jamie Johns;36;Female;USA;16;Comedy;9.84;9.87;High School;9;58;17654;5392;30;578032.57
Jason Collins;42;Male;USA;14;Horror;6.65;9.65;Graduate;9;32;18715;5569;28;772727.01
Jeanette Payne;43;Female;USA;18;Comedy;6.53;9.26;Graduate;9;27;14820;4858;30;825020.68
Anthony Harmon;35;Female;USA;15;Drama;7.11;12.74;College;11;38;15237;5333;30;1401128.8
Kayla Jackson;49;Male;Canada;17;Sci-Fi;6.07;14.59;Graduate;11;34;18412;5404;26;1002947.63
Gregory Thompson;42;Male;USA;18;Comedy;6.36;8.21;College;8;42;21552;5206;31;1328680.36
Rachel Barker;43;Female;USA;15;Drama;6.86;10.84;University;10;43;18868;5531;31;1288956.12
Ronald Henry;54;Male;USA;17;Action;6.1;7.31;University;9;33;15767;5216;31;1151852.29
Elizabeth Cook;21;Female;USA;3;Action;7.9;3.98;High School;7;31;16084;4935;19;604590.95
Cory Cox;31;Female;USA;13;Drama;8.89;6.72;University;9;32;16510;5220;24;882959.41
Ashley Guzman;53;Female;USA;18;Drama;11.38;12.94;College;17;24;14167;4995;26;1612997.72
Victoria Martin;37;Female;USA;17;Comedy;8.09;6.11;University;9;26;14801;4779;21;675499.39
Terry Reed;41;Male;Canada;14;Comedy;6.51;8.31;University;8;27;13857;4528;21;595206.8
Amber Henderson;45;Male;USA;15;Horror;6.06;7.94;College;8;37;15690;4658;24;645891.34
Shelly Roberts;23;Male;USA;5;Action;7.27;14.84;Graduate;8;33;17211;4842;32;453246.22
Mary Phillips;32;Female;USA;14;Comedy;8.28;15.34;College;10;33;15101;4932;23;638016.63
Anne Welch;47;Male;USA;21;Sci-Fi;7.34;7.61;Graduate;9;41;15053;5040;30;809644
Samuel Grant;40;Male;USA;12;Action;6.36;9.32;College;7;39;14871;5472;31;485609.46
Robert Boyer;30;Male;Canada;12;Sci-Fi;6.73;6.03;College;7;32;16278;5192;28;561556.42
Debra Brown;39;Female;USA;15;Comedy;6.24;13.85;University;12;33;18114;5388;24;905290.97
Cynthia Johnson;31;Female;USA;11;Comedy;10.22;9.71;University;10;40;15763;5130;29;838253.73
Erika Ford;47;Female;USA;16;Drama;7.4;5.7;University;8;40;15973;5168;17;613409.4
Kyle Gray;40;Male;USA;11;Sci-Fi;7.1;6.79;University;7;39;17252;4962;20;587522.8
Anthony Phillips;26;Female;USA;8;Comedy;9.15;10.39;College;8;38;18750;5318;30;615132.37
David Rivers;47;Female;USA;12;Action;7.28;10.57;College;8;29;15261;4653;25;866035.32
Teresa Smith;30;Male;USA;12;Action;6.79;10.91;University;9;25;16235;5408;24;846483.67
Luke Conner;30;Male;USA;12;Action;5.98;8.02;College;9;37;18344;5777;28;748896.85
Rachel Brooks;58;Female;USA;16;Musical;11.66;12.82;College;15;32;15758;5757;27;1730681.38
Charlotte Sutton;35;Female;USA;13;Action;5.4;9.95;Graduate;9;47;19477;5028;21;801762.05
Erin Mclaughlin;20;Female;Canada;2;Comedy;7.51;6.83;High School;5;43;17698;5577;28;417659.44
Chris Steele;34;Male;USA;15;Drama;7.18;9.63;University;9;45;16505;4797;20;922957.7
Kathleen Brewer;32;Female;USA;14;Drama;9.78;5.27;University;8;39;16563;4997;25;786327.82
Joseph Collier;39;Female;Canada;14;Drama;9.38;9.32;High School;9;29;15284;4754;24;641229.97
Christopher Mcdonald;29;Female;USA;11;Drama;9.71;5.97;University;9;44;17619;4986;29;872440.37
Michelle White;26;Male;USA;8;Action;6.57;6.64;High School;7;35;17186;4949;28;618480.13
Madison Quinn;38;Male;USA;18;Sci-Fi;6.78;5.61;College;7;40;18410;4823;30;953697.49
Lisa Williams;22;Male;Canada;4;Action;5.2;7.62;Graduate;5;47;18673;5253;27;379455.58
Christopher Moreno;35;Female;USA;17;Comedy;8.27;8.92;University;9;40;14854;4972;21;625444.14
Jennifer Garcia;31;Female;Canada;13;Comedy;10.19;9.47;College;10;43;19037;5792;26;1379145.58
Ronald Gilbert;53;Male;USA;15;Sci-Fi;8.18;11.85;University;10;45;19835;5517;24;897290.76
Devin Wilson;31;Male;USA;10;Comedy;6.49;8.76;Graduate;9;31;15726;4560;22;943837.94
Micheal Gonzalez;33;Male;USA;15;Drama;8.35;10.76;Graduate;8;35;14583;4812;20;538856.45
Stephanie Mitchell;44;Male;USA;16;Action;6.17;6.82;High School;9;36;16126;4795;26;978178.84
Christian Morgan;27;Female;Canada;9;Comedy;8.5;9.05;University;9;37;15899;5345;25;686654.04
Patricia Washington;48;Male;USA;17;Action;5.56;10.47;High School;11;45;15011;5022;22;593917.44
Ruth Townsend;42;Male;USA;18;Drama;7.38;10.02;High School;12;43;16695;5301;26;1009966.03
Sherry Thompson;22;Female;USA;4;Drama;10.22;11.49;University;8;43;17815;5180;18;629357.2
Jamie Chan;39;Male;USA;12;Sci-Fi;8.39;8.59;High School;9;31;15243;5111;23;707144.47
Daniel Wheeler;45;Male;USA;17;Action;7.36;7.53;Graduate;8;41;15111;5758;22;927106.41
Randall Scott;43;Male;USA;18;Sci-Fi;7.83;4.91;High School;8;30;15892;5009;27;1011238.12
Mary Ramirez;36;Female;USA;18;Comedy;5.65;7.17;Graduate;10;34;15458;5300;32;961255.08
Cesar Chambers;46;Female;USA;17;Action;7.81;19.18;High School;15;39;15757;4576;18;1272349.93
Deborah Hernandez;39;Female;USA;20;Comedy;5.84;10.59;University;13;45;18439;5428;23;2042009.82
Linda Taylor;53;Female;USA;16;Comedy;5.46;11.63;High School;11;49;19596;5551;25;898062.01
Michael Donaldson;34;Male;USA;16;Sci-Fi;3.93;8.3;University;8;37;17081;5401;26;460047.68
Teresa Salazar;28;Male;USA;10;Action;4.35;8.78;High School;6;34;17349;5452;23;458429.93
Angelica Atkins;64;Female;USA;14;Drama;7.79;7.56;University;6;31;15144;4760;22;560048.57
Margaret West;37;Male;USA;12;Action;5.61;13.91;Graduate;8;49;18075;4957;31;581850.08
Benjamin Baker;39;Female;USA;12;Drama;6.71;8.3;Graduate;6;29;15949;5010;21;535852.12
Helen Herrera;20;Female;USA;2;Drama;9.07;9.59;College;6;44;15873;4598;25;362885.51
Erica Jones;28;Male;USA;10;Action;6.63;5.89;Graduate;4;49;17612;4753;29;454071.94
Laura Gillespie;53;Male;USA;11;Drama;9.21;7.45;College;7;28;13661;4872;21;597259.5
Timothy Jimenez;42;Female;USA;14;Comedy;7.38;12.08;Graduate;9;36;17138;4989;21;771369.3
Richard Adams;22;Female;USA;4;Comedy;9.88;6.98;College;6;33;17900;5187;23;572684.94
Frank Roy;37;Male;USA;16;Drama;10.43;5.49;High School;8;44;15236;4984;19;1074392.61
David Beck;42;Male;USA;14;Comedy;6.38;8.98;High School;8;35;15666;5082;30;509673.14
Ryan Reyes;36;Male;USA;16;Horror;5.26;4.28;High School;7;42;15873;4838;21;558304.92
Steven Gibbs;36;Female;USA;10;Drama;9.38;7.21;Graduate;7;49;17756;5217;27;624192.96
Jennifer May;41;Female;USA;15;Action;8.73;5.63;High School;9;32;15044;5331;28;962269.59
Anita Thompson;58;Female;USA;13;Action;9.64;6.46;High School;10;40;19999;5558;27;1462048.98
Jeff Doyle;38;Female;USA;17;Action;8.26;4.79;High School;6;39;15333;5102;23;750020.39
Darlene King;34;Female;USA;16;Horror;8.02;9.98;College;9;42;15644;5386;26;807201.62
Tommy Smith;48;Male;USA;19;Sci-Fi;8.27;8.93;University;8;36;16620;5255;22;819746.76
Christy Thompson;34;Female;USA;16;Action;12.37;13.99;College;13;35;15022;5203;20;1401194.6
Donald Hamilton;30;Female;USA;12;Action;6.38;9.74;Graduate;8;23;14308;5035;26;613311.77
Mark Smith;21;Male;Canada;3;Drama;7.84;12.81;University;6;34;16641;4736;23;468006.25
Gregory Oliver;18;Female;USA;0;Action;8.59;4.77;University;4;42;15738;4617;20;430563.34
Carla Flores;26;Female;Canada;8;Drama;11.28;10.33;Graduate;8;37;16638;5199;26;904768.07
Nicholas Day;28;Male;USA;10;Action;7.36;5.55;High School;6;26;18030;5442;22;542221.17
Gloria Brown;60;Female;USA;15;Drama;8.9;16.8;Graduate;12;29;15353;5261;32;1062679.87
Derrick Rowe;46;Male;USA;13;Action;5.26;9.46;Graduate;7;33;13530;4719;25;560785.67
Connie Brown;33;Female;USA;13;Musical;9.01;7.99;University;9;40;16627;5056;26;729675.48
Donald Brown;39;Male;USA;16;Sci-Fi;7.53;8.34;College;9;34;15779;4858;31;689550.56
Melissa Schaefer;42;Male;USA;11;Action;4.67;6.42;College;7;33;16333;5053;18;341681.53
Matthew Saunders;41;Male;USA;12;Sci-Fi;8.63;5.46;University;5;39;16840;5505;22;490485.14
Sarah Freeman;23;Male;USA;5;Horror;7.19;5.76;Graduate;4;38;18503;5517;20;354201.79
Michael Oconnell;26;Male;USA;8;Comedy;6.17;8.99;University;6;49;17663;5408;32;592326.51
Meredith Morgan;34;Female;USA;10;Drama;9.62;8.92;High School;10;34;16991;5190;28;969253.8
Tommy Ford;36;Female;USA;12;Musical;12.79;0.57;College;8;40;17997;4837;23;952065.93
Andrew Sloan;38;Female;USA;18;Drama;7.1;7.41;College;8;48;18642;5288;26;1010803.1
Roberto Reyes;20;Female;USA;2;Drama;10.45;10.6;High School;7;39;19104;5441;27;681809.69
Elizabeth Blackburn;34;Female;USA;16;Drama;10.92;10.03;Graduate;8;32;14597;4976;29;781366.02
Natalie Walker;26;Male;USA;8;Action;4.75;4.2;College;5;30;15080;4611;16;289331.7
Michelle Dixon;48;Male;USA;11;Sci-Fi;6.84;6.54;Graduate;4;34;16670;5102;31;467838.05
Leonard Phillips;48;Female;Canada;16;Action;8.91;10.27;Graduate;11;33;18172;5390;20;1776453.71
Tony Mcclain;46;Male;USA;12;Drama;7.4;4.21;High School;6;28;15995;5102;18;608106.39
Lauren Burke;45;Female;USA;13;Musical;8.97;2.36;High School;7;40;15579;4976;18;786260.81
Theresa Martinez;43;Female;USA;14;Comedy;10.57;13.82;University;9;40;18903;5002;26;1157571.69
Phillip Lopez;52;Male;USA;14;Action;7.36;10.76;College;10;36;17298;4770;18;1084469.31
Teresa Colon;18;Female;USA;0;Musical;10.25;9.24;University;5;37;15896;5445;29;378501.86
Dakota Scott;51;Male;Canada;13;Action;5.38;2.32;Graduate;4;35;16115;4742;25;318028.39
Debra Martin;57;Male;USA;15;Action;6.84;12.59;High School;11;40;17142;5169;25;945797.66
Joshua Griffin;32;Female;USA;14;Action;6.09;6.48;College;11;31;17239;5440;26;1123663.01
Christopher Myers;44;Female;USA;11;Comedy;6.2;12.5;Graduate;10;32;18375;5585;36;1209803.32
Nicole Castro;21;Female;USA;3;Drama;7.83;8.56;University;5;43;18135;5269;23;354091.77
Laurie Farmer;32;Female;USA;13;Comedy;10;13.27;Graduate;10;37;15630;4434;19;965200.95
Debra Dixon;37;Male;USA;12;Comedy;7;9.43;High School;10;33;16340;5016;20;822510.74
Mrs. Amanda Cooper;46;Male;USA;11;Action;4.77;7.45;Graduate;8;49;19029;5092;24;803218.61
James Martinez;30;Male;USA;12;Action;6.15;4.04;University;6;38;19899;5655;25;787877.11
Suzanne Nelson;25;Female;USA;7;Action;6.04;3.79;Graduate;6;41;15564;5126;18;568773.68
Krista Torres;46;Female;USA;14;Action;5.37;15.56;College;12;41;14854;4917;23;812598.48
Brandon Smith;35;Female;USA;17;Action;6.58;17.31;University;13;37;14232;4660;30;859689.43
Robert Brown;45;Male;USA;11;Action;7.24;6.42;High School;7;39;18668;5676;33;766137.44
Terri Paul;45;Male;USA;22;Comedy;5.94;10.26;University;9;51;19755;6047;34;1467780.84
Tracy Davis;50;Male;USA;13;Action;7.63;0.44;High School;3;32;15267;4690;22;481248.63
Rachel Mosley;42;Male;USA;15;Action;5.89;5.99;High School;6;33;14990;5207;28;710414.96
Donna Williams;38;Male;USA;15;Action;6.26;10.11;Graduate;10;36;17211;5154;30;1115207.97
Michelle Hayes;53;Male;USA;22;Action;4.57;14.21;College;12;41;15034;5533;27;679825.67
Drew Hicks;40;Female;Canada;18;Comedy;8.98;10.45;Graduate;12;33;17227;5033;21;1586069.19
Melvin Smith;22;Female;USA;4;Action;6.91;8.41;College;6;59;16013;5249;35;457647.63
Jessica Griffin;32;Female;USA;14;Comedy;8.28;8.16;High School;8;39;16169;4934;23;864489
Amy Frazier;47;Male;USA;10;Comedy;6.44;6.06;Graduate;6;46;17809;5033;24;779604.49
Ernest Murphy;24;Female;USA;6;Comedy;8.55;7.94;Graduate;8;41;19019;5235;20;729479.54
Lauren Baxter;42;Female;USA;18;Comedy;8.92;11.61;High School;12;43;15666;4960;33;856291.97
Nancy Johnson;35;Male;USA;11;Drama;7.88;10.84;University;9;40;16048;4899;25;372480.19
Carolyn Atkins;52;Male;Canada;12;Drama;8.27;7.59;High School;7;32;16050;4908;18;593582.91
Brenda Cox;43;Female;USA;15;Comedy;9.03;11.92;Graduate;12;37;16835;4791;22;1457482.07
Ashley Reed;30;Female;Canada;12;Musical;7.24;7.67;High School;9;38;15075;4784;21;593437.54
Jeffrey Houston;37;Male;USA;12;Comedy;5.37;9.05;University;7;28;16596;5020;25;452552.37
Danielle Stewart;39;Male;USA;15;Sci-Fi;7.71;9.02;University;8;31;12360;4496;21;484143.49
Ann Marshall;46;Male;Canada;11;Horror;7.21;4;Graduate;6;48;21326;5659;36;464428.87
Austin Rivera;22;Female;USA;4;Drama;8.83;13.01;College;8;35;14653;4995;26;412319.92
Lisa Smith;42;Female;USA;19;Action;7.24;7.55;University;9;38;16401;5211;16;1062426.64
Jacob Yates;33;Female;USA;15;Musical;8.73;14.55;Graduate;10;46;20139;5526;23;770855.4
Kimberly Ward;26;Male;USA;8;Drama;5.79;8.2;College;7;32;16850;4814;23;443502.08
Stacey Nelson;27;Male;USA;9;Action;6.58;10.61;College;10;30;16031;4977;26;650519.07
Brandon Ward;37;Female;USA;18;Drama;7.93;8.11;University;10;37;16288;4720;25;1360663.2
Joanna Russell;28;Male;USA;10;Action;5.21;7.8;College;9;29;17138;5087;28;724582.74
Victoria Moody;34;Female;USA;16;Comedy;5.96;5.25;University;9;64;18226;5273;29;864004.78
Cynthia Howell;40;Male;USA;14;Drama;6.39;6.92;College;7;38;15204;5361;27;664761.31
Kevin Trujillo;23;Female;USA;5;Drama;6.69;4.84;Graduate;4;37;15914;4873;22;347440.63
Heather Nelson;46;Male;Canada;12;Horror;6.91;12.22;College;10;26;14161;4829;22;532315.15
Kenneth Crosby;18;Female;Canada;0;Horror;6.74;9.66;High School;5;39;14099;5237;29;264439.6
James Ortiz;48;Female;USA;14;Drama;11.32;10.36;Graduate;7;33;16679;5299;23;644454.31
Kimberly Alvarez;24;Female;USA;6;Comedy;7.24;7.91;High School;8;38;16695;4682;24;432358.83
Ian Johnson;26;Female;USA;8;Sci-Fi;6.01;0.61;University;2;25;14718;5078;24;273056.76
Albert Page;44;Male;USA;16;Drama;8.3;10.83;Graduate;9;32;18638;5374;31;1038420.96
Amy Davis;35;Female;USA;15;Drama;6.99;11.06;High School;10;35;15886;5366;22;1035440.5
Kelly Duarte;39;Male;USA;18;Action;8.28;12.45;University;11;30;14829;4746;25;1144132.78
Allison Ruiz;35;Male;USA;14;Drama;6.98;4.98;High School;5;35;15828;4883;20;431970.93
Andrew Spencer;34;Male;USA;16;Sci-Fi;8.72;9.75;Graduate;9;35;14713;5002;23;855788.48
Kelly Crawford;46;Male;USA;14;Musical;9.58;14.74;University;10;38;16539;5268;27;731964.42
Jason Lang;28;Male;USA;10;Comedy;9.02;7.98;College;8;32;14873;4872;25;656850.38
Kimberly Schultz;39;Male;USA;11;Action;7.76;11.05;Graduate;9;34;17752;5227;24;1058114.95
Jason Garcia;19;Male;USA;1;Sci-Fi;8.87;9.55;College;6;30;15978;4987;28;412646.23
Lisa Webb;26;Male;USA;8;Comedy;4.04;7.69;High School;6;38;15374;4730;15;270204.01
Linda Collins;23;Male;USA;5;Comedy;5.55;3.15;High School;4;43;16690;5155;22;546271.08
Felicia Richardson;56;Male;USA;10;Sci-Fi;9.66;10.69;High School;7;44;17691;4926;24;536161.21
Joseph Gutierrez;21;Male;USA;3;Drama;5.16;12.51;University;8;34;13681;4340;21;504735.43
Austin Allen;32;Female;USA;14;Drama;7.17;15.31;Graduate;11;28;15360;4587;20;944512.58
Randy Smith;50;Female;USA;15;Sci-Fi;7.93;7.17;College;10;42;15965;5184;30;1086776.93
Shelley Leonard;29;Male;USA;11;Horror;6.32;14.97;University;9;41;17903;5031;25;520822.44
Dale Smith;56;Male;USA;15;Action;5.51;11.11;College;9;44;16933;5265;18;642238.03
Mark Taylor;38;Female;USA;12;Drama;10.09;2.67;College;9;31;16740;5495;21;940532.14
Tyler Evans;39;Male;USA;21;Sci-Fi;9.28;6.88;University;8;31;13754;4548;27;1030556.26
Johnny Barnes;25;Female;USA;7;Comedy;7.17;8.21;Graduate;7;32;13683;4799;23;351292.76
Mrs. Kristen Sampson;27;Male;USA;9;Sci-Fi;8.2;6.56;High School;7;50;17110;5023;34;582297.66
Wendy Yates DVM;23;Female;USA;5;Drama;5.98;7.89;College;7;35;16847;4880;26;650890.66
Brianna Parks;25;Female;USA;7;Drama;8.19;9.68;Graduate;8;29;14223;4818;33;305073.82
James Collins;32;Male;USA;9;Horror;6.53;10.11;University;9;41;18181;5035;31;668870.44
Jason Griffin;51;Female;USA;16;Comedy;8.36;10.51;College;11;36;16338;5078;24;995196.82
Kathleen Brewer;32;Female;USA;14;Drama;9.78;5.27;University;8;39;16563;4997;25;786327.82
Samantha Roman;24;Female;Canada;6;Musical;10.61;7.61;High School;5;43;15110;4762;20;376495.77
Amy Carr;31;Female;USA;10;Drama;6.98;8.5;High School;8;39;15808;5195;23;709055.58
Monica Walter;43;Female;USA;12;Drama;4.77;8.21;High School;8;36;17448;5025;29;599897.7
Kenneth Martinez;46;Male;USA;11;Sci-Fi;7.21;9.69;College;9;30;14893;4550;21;669619.1
Charles Williams;43;Female;USA;21;Musical;9.09;17.94;University;14;45;16143;4508;23;1424715.24
Donna Anderson;28;Female;USA;10;Comedy;8.67;14.4;University;9;37;17096;5433;27;551095.05
Miss Susan Cooke;37;Female;USA;19;Comedy;8.44;2.52;High School;7;32;17319;5123;33;996645.88
Amanda Patterson;48;Male;USA;16;Action;6.06;12.72;High School;13;40;16796;5388;26;1233310.68
Mathew Sparks;30;Male;USA;12;Action;7.24;4.53;Graduate;8;41;16287;5214;32;769040.56
Phillip Bailey;43;Female;USA;14;Action;6.82;9.03;Graduate;7;40;16869;5553;28;706688.58
Donna Strickland;36;Male;USA;16;Drama;8.52;10.38;Graduate;10;40;18969;5234;28;1057129.87
Thomas Turner;58;Female;USA;11;Comedy;9.26;13.88;University;12;41;16427;5137;31;1008489.17
Barbara Lee;52;Male;Canada;19;Comedy;9.09;7.16;College;9;49;16197;5043;18;1366343.25
Nathan Walton;18;Female;USA;0;Drama;7.81;7.87;High School;5;66;22188;5488;28;438944.42
Sara Flynn;43;Male;USA;18;Sci-Fi;9.48;19.43;Graduate;14;43;17771;5106;26;1317462.81
Brian Moreno;44;Female;USA;7;Drama;8.42;5.13;High School;4;30;17390;5038;26;445432.4
James Potter;40;Female;USA;7;Musical;8.77;6.41;College;7;45;16928;4969;17;443807.32
Anthony Gomez;53;Male;USA;15;Action;4.7;10.21;University;8;27;14423;5077;25;599565.02
Mr. Michael Brown;38;Male;USA;14;Comedy;8.61;5.24;College;4;49;17773;4941;22;618573.37
Ian Anthony;52;Male;USA;14;Action;5.02;15.58;College;11;34;17445;5015;28;766818.95
Andrew Aguirre;46;Female;USA;10;Drama;6.99;8.35;University;9;30;18559;5026;29;922914.32
Mrs. Christy West;25;Female;USA;7;Comedy;8.73;8.68;High School;7;33;14723;4860;19;454710.03
Carol Bennett;32;Female;USA;10;Action;4.99;4.34;Graduate;7;42;19572;5653;35;571091.83
Cynthia Miranda;34;Male;USA;14;Comedy;6.53;3.26;Graduate;5;38;16164;5173;26;731555.01
Megan Lowe;26;Female;Canada;8;Comedy;8.08;9.81;Graduate;9;43;16631;5204;21;668715.96
Lauren Wilkerson;46;Male;USA;13;Sci-Fi;8.88;11.56;University;11;40;14724;4728;22;902443.78
Adrienne Webb;34;Female;USA;16;Musical;7.67;6.4;College;7;34;16214;5160;20;626583.79
Evelyn Long;36;Female;USA;9;Drama;8.4;10.25;University;8;46;18144;5150;25;870225.7
Mary Smith;52;Male;USA;19;Comedy;5.17;9.35;Graduate;10;47;18761;5404;27;1206554.77
Jeanne Villanueva;33;Male;USA;11;Action;7.11;7.29;University;7;34;17370;5424;23;791446.84
Mr. Gary Richardson;43;Female;USA;14;Musical;9.31;15.57;Graduate;11;39;17976;5083;31;945366.94
Deborah Bradshaw;18;Female;USA;0;Drama;9.39;10.84;University;6;33;18644;5051;27;490169.18
Aaron Frazier;47;Male;USA;15;Comedy;6.51;10.73;Graduate;9;53;21672;5509;29;1079034.45
Aaron Flynn;44;Female;USA;17;Musical;7.36;8.96;High School;9;43;16320;4957;19;643610.39
Kathleen Pierce;45;Female;Canada;12;Drama;9.17;10.57;University;10;33;16436;5148;25;777965.38
Jessica Hodges;48;Male;USA;15;Drama;7.25;8.75;Graduate;9;31;16883;5036;19;1116073.29
John Cobb;39;Female;USA;19;Horror;5.42;10.28;University;9;28;13998;4897;21;575018.66
Adrian Wells;34;Male;USA;16;Comedy;7.45;6.24;College;6;37;16048;4922;26;624395.44
Joseph Conley;22;Male;USA;4;Action;6.39;13.95;High School;8;48;16226;4886;22;451257.38
Lisa Hill;38;Female;USA;13;Drama;9.31;10.9;University;9;32;16658;5136;25;862124.87
Hailey Mccormick;28;Female;Canada;10;Horror;6.67;1.2;High School;4;35;15388;5375;28;303166.14
Heather Conley;29;Female;USA;11;Comedy;9.37;8.9;Graduate;6;35;16403;4991;24;571437.75
Cindy White;47;Male;USA;10;Drama;6;8.38;College;8;31;14587;5266;29;718061.24
Alejandra Lloyd;43;Female;USA;10;Horror;6.88;8.59;High School;8;36;18810;5538;25;624069.84
Mary Phillips;32;Female;USA;14;Comedy;8.28;15.34;College;10;33;15101;4932;23;638016.63
Maureen Miller;27;Female;USA;9;Action;5.2;3.29;High School;5;42;16156;5413;26;412333.8
John Velez;27;Female;USA;9;Comedy;7.12;9.04;Graduate;9;34;15287;5108;20;582616.06
Jeremiah Marquez;37;Male;USA;13;Drama;6.11;13.96;Graduate;10;48;18125;5505;25;972264.82
Todd Stout;24;Male;USA;6;Comedy;5.85;17.58;Graduate;9;38;15590;5026;25;455239.99
Lisa Powers;44;Male;USA;19;Action;5.48;14.87;University;12;35;18187;5205;23;1038135.18
David Cook;56;Female;USA;13;Drama;6.99;10.59;Graduate;8;34;16610;5172;25;771557.56
David Mccarty;18;Male;USA;0;Action;6.79;12.75;College;7;43;17883;5181;27;472343.64
Brandon Irwin;23;Female;Canada;5;Action;9.93;8.99;Graduate;8;45;17649;5426;24;678034.5
Patrick Miller;32;Female;Canada;8;Comedy;9.14;8.09;University;7;40;14423;4315;23;522375.23
Aaron Davis;35;Male;USA;17;Action;9.03;7.33;College;10;47;16461;4944;21;1148298.11
Teresa Kirby;48;Male;USA;11;Sci-Fi;6.78;3.08;College;4;55;18572;5073;26;380879.27
William White;46;Male;USA;16;Action;7.35;14.39;University;14;35;15122;4599;25;1365548.75
David Thompson;25;Female;USA;7;Action;5.43;11.8;University;8;44;15870;4964;23;435604.35
Carolyn Carey;39;Female;USA;18;Drama;6.4;2.52;University;7;42;18129;5291;29;706867.48
Lauren Owens;33;Female;USA;13;Comedy;7.71;8.73;College;10;34;14353;4289;19;931905.65
Kenneth Freeman;44;Female;USA;9;Action;6.09;5.99;High School;5;44;18008;5281;29;402724.39
Alexander Hill;46;Female;USA;17;Comedy;8.42;13.45;Graduate;11;27;14297;5061;21;975990.36
Angela Berry;18;Female;USA;0;Drama;7.96;4.7;Graduate;7;34;16123;4951;24;281254.61
Maria Ingram;37;Female;USA;17;Horror;5.99;8.86;University;10;36;16077;5199;28;791824.32
Kathy Davis;44;Male;USA;11;Horror;5.3;9.91;Graduate;9;31;14822;4984;24;524249.46
Rebecca Carr;58;Male;USA;17;Action;5.79;12.12;High School;12;38;15429;5138;28;883249.62
Rachel Miranda;27;Male;Canada;9;Action;9.11;10.17;University;8;29;15727;4878;29;840215.8
Kelly Osborne;25;Female;USA;7;Comedy;8.01;5.98;High School;5;36;16501;4776;32;461351.96
William Bernard;31;Female;USA;13;Comedy;8.5;13.12;University;10;31;13661;4505;22;638624.06
Rachel Miranda;27;Male;Canada;9;Action;9.11;10.17;University;8;29;15727;4878;29;840215.8
Megan Barron;44;Male;USA;13;Sci-Fi;8.17;12.45;College;12;41;18663;5308;28;1265676.12
Gabriella Espinoza;33;Male;USA;15;Action;6.15;6.52;College;6;29;18355;5449;23;808386.96
Bryan Hebert;27;Female;USA;9;Comedy;6.6;5.89;University;6;28;15177;4883;27;343792.74
Jacqueline Gallagher;41;Female;USA;14;Comedy;7.14;9.42;College;12;34;14074;4518;20;910382.05
Heather Moyer;24;Female;USA;6;Musical;9.47;9.38;University;7;42;16193;5147;25;483173.03
Ashley Guzman;53;Female;USA;18;Drama;11.38;12.94;College;17;24;14167;4995;26;1612997.72
Gary Davis;32;Female;USA;14;Drama;9.45;9.96;College;9;29;13175;5224;27;849122.62
Sean Francis;42;Male;USA;12;Comedy;6.37;3.38;University;6;30;17553;4793;19;615678.06
Jose Reese;44;Male;USA;22;Sci-Fi;8.23;8.73;Graduate;9;39;16329;5175;16;1024749.44
Dr. Tiffany Butler;43;Female;USA;13;Comedy;8.92;7.75;High School;9;42;19364;5336;23;1011654.27
Philip Barajas;26;Male;USA;8;Horror;6.35;6.85;High School;5;40;14703;4883;29;297743.85
Michael Garcia;41;Male;USA;12;Comedy;6.5;8.4;High School;10;37;14510;4590;18;637248.75
Cynthia Harvey;41;Male;Canada;18;Action;3.86;8.63;University;11;33;20182;5313;28;1043715.92
David Franco;34;Female;USA;16;Drama;9.98;12.18;High School;14;46;20353;5639;27;2504374.88
Jeremiah Santiago;55;Male;USA;14;Action;5.63;12.97;University;9;37;15888;5377;29;776523.87
Michael Hess;24;Female;Canada;6;Drama;8;2.87;High School;7;52;17719;5299;24;772616.51
